,Place,Size,Price
1350,"RUMURUTI and NANYUKI PLOTS in LAIKIPIA COUNTY, Nanyuki, Laikipia East",0.0, 600000
1358,"Off Muthithi Road, Westlands Area, Westlands",0.0, 190000000
1366,"White Sisters road, Thika West, Thika West",0.0, 4300000
1380,"Garissa road, Masinga, Masinga",0.0, 125000
1390,"Matasia, Ngong, Kajiado North",0.0, 26000000
1401,"Old Kitisuru, Kitisuru, Westlands",0.0, 40000000
1403,"Parklands, Westlands",0.0, 95000000
1444,"Namanga rd, Kitengela, Kitengela, Kajiado North",0.0, 1200000
1447,"Namanga rd, Near KAG University, Kitengela, Kajiado North",0.0, 8000000
1453,"5489, Ostrich Farm, Kitengela, Kajiado North",0.0, 950000
1455,"Kahawa West, Roysambu",0.0, 7000000
1456,"Kiambu Road, Kiambu Road",0.0, 36500000
1458,"Kiambu Road, Kiambu Road",0.0, 5000000
1459,"Ruiru, Ruiru",0.0, 3000000
1460,"Upper Hill, Langata",0.0, 250000000
1461,"Ruiru, Ruiru",0.0, 13500000
1462,"Kitengela, Kajiado North",0.0, 1600000
1464,"Cianda, Kiambaa",0.0, 12500000
1465,"Tigoni, Limuru",0.0, 28000000
1466,"Ruiru, Ruiru",0.0, 5800000
1468,"III-Ruiru Green Phase 2, Off Thika Super, Ruiru, Ruiru",0.0, 4800000
1470,"II Ruiru Green Phase 1, Along Ruiru - Githunguri, Ruiru, Ruiru",0.0, 4500000
1471,"Kamiti Road, Zimmermann, Roysambu",0.0, 10000000
1473,"Isinya, Kajiado North",0.0, 395000
1474,"Juja, Kiambu Constituency",0.0, 6500000
1475,"Ruiru, Ruiru",0.0, 9800000
1476,"Upper Hill, Langata",0.0, 230000000
1477,"Ruiru, Ruiru",0.0, 3000000
1479,"Jamhuri, Ngong",0.0, 12800000
1480,"Kileleshwa, Dagoretti North",0.0, 145000000
1481,"Lavington, Dagoretti North",0.0, 200000000
1482,"Lavington, Lavington, Dagoretti North",0.0, 170000000
21,"332, Thika, Thika East, Thika East",464.5, 3800000
34,"Near NanyukiAirstrip, Nanyuki, Laikipia East",464.5, 350000
76,"Lumumba rd, Majengo, Mvita",278.7, 12000000
87,"332 Ruiru, Rainbow Resort tarmac, Ruiru, Ruiru",297.28, 4700000
117,"Off Mutongoni Road, lukenya, Athi River",464.5, 450000
120,"kikambala, Kikambala, Kilifi South",297.28, 1400000
122,"Nyali, Nyali Area, Nyali",4856.0688, 155000000
201,"Kikuyu Town, Kikuyu",46.449999999999996, 1650000
256,"Kamakis corner area, Canaan, Ruiru, Ruiru",297.28, 1100000
269,"332, Thika, Juja, Kiambu Constituency",464.5, 550000
324,"332, Thika, Juja, Kiambu Constituency",167.22, 2200000
325,"Kaloleni, Kaloleni",46.449999999999996, 380000
332,"Diani, Diani, Msambweni",817.52, 15000000
345,"Bomani, Bomani, Mtwapa, Kilifi South",464.5, 1100000
352,"N/A, Ruiru, Ruiru",379.032, 450000
355,"Nyali, Nyali Area, Nyali",1011.6809999999999, 26000000
391,"Longonot, Naivasha",464.5, 429000
401,"Kaloleni mavueni, Kaloleni, Kaloleni",46.449999999999996, 250000
414,"332, Thika, Juja, Kiambu Constituency",195.09, 1700000
417,"Mugutha kwa kabogo, Ruiru, Ruiru",46.449999999999996, 2200000
439,"Watamu, Kilifi North",46.449999999999996, 375000
444,"332, Kalimoni, Juja, Kiambu Constituency",297.28, 2800000
507,"Nyali, Mombasa CBD, Mombasa CBD",9307.4652, 170000000
539,"Off Masai Road, Ngong, Kajiado North",929.0, 6500000
552,"Off Masai road, Ngong, Kajiado North",464.5, 2500000
594,"Kilifi, Bofa, Bofa",46.449999999999996, 1250000
633,"Ruiru, Ruiru",418.05, 2500000
722,"Kitengela, Kajiado North",464.5, 299000
738,"Lumumba Drive, Roysambu Area, Roysambu",297.28, 14000000
807,"Eastern Bypass, Utawala, Embakasi",4046.7239999999997, 72000000
818,"Ruiru, Ruiru",464.5, 1500000
819,"Mombasa CBD, Mombasa CBD",46.449999999999996, 350000
841,"Tezo, Malindi Town, Malindi",46.449999999999996, 380000
877,"kikambala, Kikambala, Kilifi South",4046.7239999999997, 17000000
897,"Ting'ang'a, Ting'ang'a, Kiambaa",464.5, 2700000
966,"Ruaka, Kiambaa",668.88, 24000000
1000,"Wingspan, Ruiru, Ruiru",371.59999999999997, 1150000
1006,"gikambura, gikambura, Gikambura, Kikuyu",464.5, 3100000
1034,"Viken Thirty Industrial Park Access Road., Ruai, Kasarani",297.28, 2800000
1035,"409, Midpoint, Joska, Kangundo",464.5, 850000
1069,"mtwapa, Mtwapa, Kilifi South",3716.0, 18000000
1121,"Watamu, Kilifi North",46.449999999999996, 300000
1132,"Kikambala, kikambala, Kikambala, Kilifi South",315.86, 1400000
1143,"Off Maasai Road, Ngong, Kajiado North",929.0, 5500000
1156,"Bamburi, Mombasa CBD, Mombasa CBD",297.28, 4700000
1187,"332, Thika, Ruiru, Ruiru",297.28, 4700000
1191,"Nyali, Makoma road, Nyali Area, Nyali",1348.908, 16000000
1217,"Kwihoto, Ruiru, Ruiru",418.05, 2700000
1220,"332, Thika, Thika East, Thika East",464.5, 3000000
1235,"Exit 12 Thika Road, Murera Road, Ruiru, Ruiru",464.5, 2200000
1300,"Kagundo Road, Kasarani",464.5, 550000
1301,"the rest of Machakos, the rest of Machakos",464.5, 379000
1302,"Kagundo Road, Kasarani",464.5, 750000
1303,"Ngong, Kajiado North",464.5, 599000
0,"1, MIGAA Golf Estate,, Kiambu Road, Kiambu Road",505.875, 5000000
4,"Runda, Westlands",4047.0, 60000000
